Price,Close,High,Low,Open,Volume,LogReturn
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,
Date,,,,,,
2000-01-04,80.45967864990234,80.5520417581454,77.58180380706285,80.19284464152193,7191808,0.0758156450681201
2000-01-05,74.02301788330078,77.56749339535104,74.02301788330078,74.94690546464041,21069440,-0.08338007528802026
2000-01-06,68.10115814208984,73.03278215600537,68.10115814208984,72.82585780449999,10495616,-0.08338187781178265
2000-01-07,62.65304946899414,62.65304946899413,62.65304946899413,62.65304946899413,971392,-0.08338186466046607
2000-01-10,65.66886901855469,67.66509896479408,57.64099344286769,62.65304620383088,30230400,0.0470126230189391
2000-01-11,60.415523529052734,65.87269438844314,60.415523529052734,63.00866419764127,15658368,-0.08337889387187097
2000-01-12,62.424171447753906,63.719907559241705,56.16364014847838,57.04194286710153,25993472,0.03270647932526502
2000-01-13,57.713077545166016,62.765229282174225,57.430254529349696,62.53133345474807,20038400,-0.07846876825113527
2000-01-14,58.12263870239258,58.69830698681838,53.476224540402235,58.46918453944363,16040064,0.007071443543993389
2000-01-17,56.66436004638672,61.50504638841908,55.944054611740135,58.23527869140185,18092928,-0.025409796117443005
2000-01-18,56.97343444824219,58.0873015805848,54.05856606131341,56.038089055038824,20290944,0.005439654392298859
2000-01-19,61.528194427490234,61.53129899131693,59.28542209162998,59.886868402704486,19994752,0.07691041885145991
2000-01-20,60.84654998779297,64.68411212933174,60.19713217201702,63.00865471973869,19778560,-0.01114039490347984
2000-01-21,64.05976867675781,64.87028834496957,59.68161995416883,61.57665339588722,20786048,0.05146141230398966
2000-01-24,66.24884796142578,69.16156811980984,64.9180292932165,64.9180292932165,25256320,0.033601542319455606
2000-01-25,67.3495864868164,68.02072241672496,63.963583728767574,65.87269960356522,20469632,0.01647868761872452
2000-01-26,67.3495864868164,67.3495864868164,67.3495864868164,67.3495864868164,0,0.0
2000-01-27,70.55778503417969,72.55544650539737,69.6245883373504,72.26904342708659,12953792,0.046535256894506945
